ID,nrpts,area,density,ecc,center_1,center_2
605,67,0.01682056,3983.222,0.7977663,18.87112,21.69587
606,179,0.04943792,3620.702,0.7325816,36.38635,25.77608
608,108,0.04518585,2390.129,0.8611218,24.40086,30.62195
610,52,0.0140895,3690.692,0.5553998,39.93996,23.04411
611,111,0.04177996,2656.776,0.7886102,34.25644,27.97034
615,50,0.01557801,3209.652,0.6116788,39.53248,20.77022
618,78,0.03318258,2350.631,0.3916129,36.73395,30.56342
620,86,0.02543947,3380.574,0.7228469,32.86588,21.01257
622,173,0.04206205,4112.971,0.6830646,27.2846,25.90506
623,76,0.03263949,2328.468,0.8402191,33.05511,27.68504
625,75,0.02691013,2787.054,0.8209409,16.97681,25.34273
627,102,0.03401314,2998.841,0.7469061,38.77917,31.9423
629,236,0.07656009,3082.546,0.6947818,30.39931,24.10888
630,317,0.07359106,4307.588,0.8067048,36.78845,17.30005
633,70,0.03145099,2225.685,0.797335,29.46313,41.61149
635,102,0.04365371,2336.571,0.6989022,28.93668,36.63514
637,159,0.05957,2669.129,0.8536933,26.6677,26.08492
638,125,0.03306675,3780.233,0.7547504,27.3206,26.37029
641,53,0.01879076,2820.534,0.8574516,25.98572,23.16631
642,94,0.03857326,2436.921,0.4152593,42.91216,24.84419
643,119,0.04105616,2898.469,0.5647577,35.37973,28.8898
